menu,restaurantChain,Calories(kcal),Sugar(g),Cholesterol(mg),Saturated Fat(g),Sodium(mg),Protein(g),Fiber(g),Calcium(mg),Iron(mg),Vitamin A(IU),Vitamin C(mg),id,RRR_m1
Flour Tortilla (burrito),Chipotle,320,0,0,0.5,600,8,3,0,0,0,0,1234321,1.497875601
Flour Tortilla (taco),Chipotle,80,0,0,0,160,2,0,0,0,0,0,1234321,0.912698413
Crispy Corn Tortilla,Chipotle,70,0,0,0,0,1,1,0,0,0,0,1234321,3.979591837
Cilantro-Lime Brown Rice,Chipotle,210,0,0,1,190,4,2,0,0,0,0,1234321,1.593255784
Cilantro-Lime White Rice,Chipotle,210,0,0,0.5,350,4,1,0,0,0,0,1234321,1.02520361
Black Beans,Chipotle,130,2,0,0,210,8,7,0,0,0,0,1234321,5.221483942
Pinto Beans,Chipotle,130,1,0,0,210,8,8,0,0,0,0,1234321,6.320239563
Fajita Vegetables,Chipotle,20,2,0,0,150,1,1,0,0,0,0,1234321,1.208894879
Barbacoa,Chipotle,170,0,65,2.5,530,24,1,0,0,0,0,1234321,1.962080156
Chicken,Chipotle,180,0,125,3,310,32,0,0,0,0,0,1234321,2.021607764
Carnitas,Chipotle,210,0,65,7,450,23,0,0,0,0,0,1234321,1.325925307
Steak,Chipotle,150,0,80,2.5,330,21,1,0,0,0,0,1234321,1.867237869
Sofritas,Chipotle,150,5,0,1.5,560,8,3,0,0,0,0,1234321,1.353366897
Fresh Tomato Salsa,Chipotle,25,1,0,0,550,0,1,0,0,0,0,1234321,0.32870291
Roasted Chili-Corn Salsa,Chipotle,80,4,0,0,330,3,3,0,0,0,0,1234321,1.58592645
Tomatillo-Red Chili Salsa,Chipotle,30,0,0,0,500,0,1,0,0,0,0,1234321,0.384204196
Cheese,Chipotle,110,0,30,5,190,6,0,0,0,0,0,1234321,0.615247436
Sour Cream,Chipotle,110,2,40,7,30,2,0,0,0,0,0,1234321,0.169096924
Guacamole (topping/side),Chipotle,230,1,0,3.5,370,2,6,0,0,0,0,1234321,1.350085741
Guacamole (large),Chipotle,460,2,0,7,740,4,12,0,0,0,0,1234321,1.350085741
Queso Blanco (entre),Chipotle,120,1,30,6,250,5,0,0,0,0,0,1234321,0.424667651
Queso Blanco (side),Chipotle,240,2,60,12,490,10,0,0,0,0,0,1234321,0.42624166
Queso Blanco (large),Chipotle,480,5,120,23,980,20,0,0,0,0,0,1234321,0.431762718
Supergreens Salad Mix,Chipotle,15,1,0,0,15,1,2,0,0,0,0,1234321,6.718393428
Romaine Lettuce (tacos),Chipotle,5,0,0,0,0,0,1,0,0,0,0,1234321,35.71428571
Chips (regular),Chipotle,540,1,0,3.5,390,7,7,0,0,0,0,1234321,1.536485098
Chips (large),Chipotle,810,2,0,5,590,11,11,0,0,0,0,1234321,1.610202683
Chipotle-Honey Vinaigrette,Chipotle,220,12,0,2.5,850,1,1,0,0,0,0,1234321,0.164920022
Lava Flow,Cheesecake Factory,400,52,0,7,30,1,3,0,0,0,0,1234322,0.198283544
Pia Colada,Cheesecake Factory,480,71,0,6,25,1,1,0,0,0,0,1234322,0.070672213
Mango Eruption,Cheesecake Factory,370,51,0,3.5,25,1,1,0,0,0,0,1234322,0.100142902
Paradise in a Pineapple,Cheesecake Factory,440,62,0,4,20,1,1,0,0,0,0,1234322,0.083469813
Little House Salad,Cheesecake Factory,260,5,0,2,250,2,3,0,0,0,0,1234322,0.838524706
Chicken Taquitos,Cheesecake Factory,390,5,50,7,850,16,13,0,0,0,0,1234322,1.659889402
Korean Fried Cauliflower,Cheesecake Factory,1150,44,20,13,2570,11,7,0,0,0,0,1234322,0.357245148
Stuffed Mushrooms,Cheesecake Factory,510,5,105,22,500,15,4,0,0,0,0,1234322,0.547442453
Crispy Brussels Sprouts,Cheesecake Factory,570,15,30,13,410,8,8,0,0,0,0,1234322,0.736347405
Loaded Baked Potato Tots,Cheesecake Factory,1030,16,165,27,1970,25,5,0,0,0,0,1234322,0.47234256
Beet and Avocado Salad,Cheesecake Factory,290,28,5,3,480,7,9,0,0,0,0,1234322,1.067763479
Cheeseburger Spring Rolls,Cheesecake Factory,1010,11,175,28,1830,43,3,0,0,0,0,1234322,0.690030577
Chicken Samosas,Cheesecake Factory,420,8,100,5,1220,28,3,0,0,0,0,1234322,1.124068596
Fried Zucchini,Cheesecake Factory,890,13,25,12,970,14,4,0,0,0,0,1234322,0.584033445
